State	Seats2007	Seats2009	Seats2011	Seats2013	Seats2014	SeatsADuff	Population2013
Germany	99	99	99	99	96	96	80523746
France	78	72	74	74	74	83	65633194
United Kingdom	78	72	73	73	73	80	63896071
Italy	78	72	73	73	73	78	59685227
Spain	54	50	54	54	54	61	46704308
Poland	54	50	51	51	51	51	38533299
Romania	35	33	33	33	32	31	20020074
Netherlands	27	25	26	26	26	25	16779575
Belgium	24	22	22	22	21	18	11161642
Greece	24	22	22	22	21	19	11062508
Czech Republic	24	22	22	22	21	18	10516125
Portugal	24	22	22	22	21	18	10487289
Hungary	24	22	22	22	21	17	9908798
Sweden	19	18	20	20	20	17	9555893
Austria	18	17	19	19	18	16	8451860
Bulgaria	18	17	18	18	17	15	7284552
Denmark	14	13	13	13	13	12	5602628
Finland	14	13	13	13	13	12	5426674
Slovakia	14	13	13	13	13	12	5410836
Ireland	13	12	12	12	11	11	4591087
Croatia	-	-	-	12	11	11	4262140
Lithuania	13	12	12	12	11	9	2971905
Slovenia	7	7	8	8	8	8	2058821
Latvia	9	8	9	9	8	8	2023825
Estonia	6	6	6	6	6	7	1324814
Cyprus	6	6	6	6	6	6	865878
Luxembourg	6	6	6	6	6	6	537039
Malta	5	5	6	6	6	6	421364
