"Country" "Life.expectancy" "Health.spenditure"
"Aruba" 75.4510975609756 NA
"Andorra" NA 4272.52381782
"Afghanistan" 60.3744634146342 166.51672658
"Angola" 52.2668780487805 239.01023293
"Albania" 77.8304634146342 614.53594606
"United Arab Emirates" 77.3681707317073 2405.36771937
"Argentina" 76.1586097560976 1137.24342289
"Armenia" 74.6757073170732 362.12527877
"American Samoa" NA NA
"Antigua and Barbuda" 75.9376341463415 1208.07584636
"Australia" 82.2512195121951 4357.26078332
"Austria" 81.3365853658537 5038.8816446
"Azerbaijan" 70.7632195121951 1047.30059776
"Burundi" 56.6920243902439 58.01861945
"Belgium" 80.5878048780488 4391.59514431
"Benin" 59.5105853658537 85.60836075
"Burkina Faso" 58.5884634146341 82.30537688
"Bangladesh" 71.6259024390244 88.07585743
"Bulgaria" 75.4073170731707 1398.87848798
"Bahrain" 76.6832682926829 2272.89590495
"Bahamas, The" 75.2336585365854 1818.7684929
"Bosnia and Herzegovina" 76.433243902439 957.39697911
"Belarus" 72.9756097560976 1030.99241079
"Belize" 70.0774390243902 488.73545494
"Bermuda" 80.7973170731707 NA
"Bolivia" 68.344 427.41129648
"Brazil" 74.4018780487805 1318.17208034
"Barbados" 75.4964146341463 1013.96688192
"Brunei Darussalam" 78.8095853658537 1777.75860876
"Bhutan" 69.471243902439 281.09634273
"Botswana" 64.429243902439 870.83699002
"Central African Republic" 50.6577804878049 24.95621963
"Canada" 81.9566097560976 4640.94649671
"Switzerland" 82.8487804878049 6468.49557329
"Channel Islands" 80.6064878048781 NA
"Chile" 81.4961951219512 1749.36324082
"China" 75.7822682926829 730.51780314
"Cote d'Ivoire" 51.5595853658537 187.0199205
"Cameroon" 55.492756097561 121.9234186
"Congo, Rep." 62.3111463414634 322.63336555
"Colombia" 73.9931463414634 961.88797029
"Comoros" 63.2568536585366 100.81611783
"Cabo Verde" 73.147 310.12388301
"Costa Rica" 79.4027073170732 1389.33691785
"Cuba" 79.3908292682927 2474.61677851
"Curacao" 77.8243902439025 NA
"Cayman Islands" NA NA
"Cyprus" 80.1315609756098 2062.37405757
"Czech Republic" 78.2756097560976 2146.32088342
"Germany" 80.8439024390244 5182.11404918
"Djibouti" 62.015512195122 337.95886138
"Dominica" NA 586.90191344
"Denmark" 80.5487804878049 4782.05951391
"Dominican Republic" 73.5000243902439 580.32840812
"Algeria" 74.8080975609756 932.10028378
"Ecuador" 75.872487804878 1039.75658557
"Egypt, Arab Rep." 71.1217073170732 594.11025159
"Eritrea" 63.6630243902439 51.0405941
"Spain" 83.0780487804878 2965.81832471
"Estonia" 77.2390243902439 1668.31346668
"Ethiopia" 64.0350243902439 72.96435215
"Finland" 81.1292682926829 3701.14112734
"Fiji" 70.0891219512195 364.05091816
"France" 82.3731707317073 4508.13456593
"Faroe Islands" 81.6926829268293 NA
"Micronesia, Fed. Sts." 69.1010731707317 472.64895538
"Gabon" 64.3833902439024 599.26416402
"United Kingdom" 81.0560975609756 3376.86996528
"Georgia" 74.6686341463415 627.74076411
"Ghana" 61.3116341463415 145.36813142
"Guinea" 58.7334390243902 68.45821523
"Gambia, The" 60.2284390243902 118.42800642
"Guinea-Bissau" 55.1600487804878 90.95910835
"Equatorial Guinea" 57.6470487804878 1163.41614673
"Greece" 81.2853658536585 2098.05225625
"Grenada" 73.3663170731707 728.31317013
"Greenland" NA NA
"Guatemala" 71.7224146341463 472.85084974
"Guam" 79.1260243902439 NA
"Guyana" 66.4064146341463 378.78631014
"Hong Kong SAR, China" 83.9804878048781 NA
"Honduras" 73.1357073170732 399.74980915
"Croatia" 77.3292682926829 1652.12229359
"Haiti" 62.7474390243902 130.84864328
"Hungary" 75.8731707317073 1826.67506469
"Indonesia" 68.8884878048781 299.40513924
"Isle of Man" NA NA
"India" 68.0138048780488 267.40862498
