"Country"	"GDP.growth"	"GDP.at.market.prices"	"GDP.per.capita"	"GNI.per.capita.Atlas.method"	"Exports.of.goods.and.services"	"Foreign.direct.investment.net"	"GNI.per.capita.PPP"	"GINI.index"	"Inflation.consumer.prices"	"Inflation.GDP.deflator"	"Internet.users"	"Imports.of.goods.and.services"	"Life.expectancy.at.birth.total"	"Adult.literacy.rate.population.15..years.both.sexes"	"Unemployment.total"	"Poverty.headcount.ratio.at.national.poverty.lines"	"Agriculture.value.added"	"CO2.emissions"	"Central.government.debt.total"	"Population.total"
"Afghanistan"	1.96	20458939155.27	666.8	730	6.31	-39663686	2080	-	7.65	4.72	5.9	49.76	60.03	-	9.2	-	23.89	-	-	30682500
"Albania"	1.11	12781029643.42	4411.26	4480	35.45	-1225632063.28	10430	-	1.94	0.22	57.2	53.48	77.64	-	16	-	22.5	-	-	2897366
"Algeria"	2.8	209703529364.33	5491.61	5510	33.22	-1963635049.7	13480	-	3.25	-0.11	16.5	30.41	74.57	-	9.8	-	10.65	-	-	38186135
"American Samoa"	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	55302
"Andorra"	-0.06	3249100674.84	42806.52	43270	-	-	-	-	-	0	94	-	-	-	-	-	0.52	-	-	75902
"Angola"	-	138356809261.96	5900.53	-	50.67	13164177545.64	-	-	8.78	-	19.1	36.01	51.87	70.78	6.9	-	-	-	-	23448202
"Antigua and Barbuda"	-0.35	1200587518.52	13342.08	13030	45.8	-134288999.63	20430	-	1.06	0	63.4	60.04	75.78	98.95	-	-	2.28	-	-	89985
"Argentina"	2.89	614383517369.5	14443.07	14110	14.32	-8026688999.43	-	42.28	10.62	19.71	59.9	14.4	75.99	97.97	7.1	-	7.38	-	-	42538304
"Armenia"	3.3	11121465767.41	3716.83	3930	28.36	-353280983.67	8100	31.54	5.79	3.37	41.9	48.2	74.56	-	16.2	32	20.74	-	-	2992192
"Aruba"	-	-	-	-	-	-225474860.34	-	-	-2.37	-	78.9	-	75.33	-	-	-	-	-	-	102921
"Australia"	2.44	1563950959269.52	67652.68	65500	19.83	-55287463826.25	44330	-	2.45	-0.2	83	21.06	82.15	-	5.7	-	2.48	-	38.34	23117353
"Austria"	0.32	428698577647.39	50557.8	50600	53.23	10578469480.86	47550	-	2	1.51	80.62	50.22	81.14	-	4.9	-	1.43	-	83.41	8479375
"Azerbaijan"	5.8	73560484384.96	7811.62	7350	48.72	-1141550000	16180	-	2.38	1.02	58.7	26.87	70.69	99.79	5	-	5.66	-	-	9416801
"Bahamas, The"	0.02	8431750000	22315.6	21190	44.06	-382252000	22330	-	0.35	2.37	72	55.76	75.07	-	16.2	-	1.9	-	-	377841
"Bahrain"	5.41	32897606382.98	24378.94	21060	73.65	63563829.79	37680	-	3.31	1.47	90	46.26	76.55	-	3.7	-	-	-	-	1349427
"Bangladesh"	6.01	149990451022.29	954.4	1010	19.54	-1358926107.99	3170	-	7.53	7.17	6.63	26.76	71.25	59.72	4.5	-	16.28	-	-	157157394
"Barbados"	0	4281000000	15153.82	-	37.19	62081040.77	-	-	1.8	-0.74	73	49.92	75.33	-	11.6	-	-	-	131.63	282503
"Belarus"	1.07	73097619636.82	7722.12	6790	60.27	-1983900000	17010	-	18.31	21.09	54.17	63.53	72.47	-	6	5.5	8.09	-	-	9466000
"Belgium"	0.02	521402393365.01	46625.32	47240	82.16	5073949418.68	43680	-	1.11	1.35	82.17	80.88	80.59	-	8.4	-	0.79	-	101.55	11182817
"Belize"	1.53	1624294250	4719.14	4350	60.85	-91563206.3	7590	-	0.51	1.65	33.6	66.32	69.98	-	11.7	-	15.34	-	-	344193
"Benin"	6.88	9110800744.88	882.64	860	27.35	-301668020.21	1910	-	0.97	1.63	4.9	41.72	59.31	-	1	-	24.02	-	-	10322232
"Bermuda"	-2.51	5573710000	85748.07	106140	47.67	-4328580.31	66560	-	-	3.25	95.3	29.59	80.57	-	-	-	-	-	-	65001
"Bhutan"	2.14	1798333725.84	2383.04	2340	40.46	-49784378.01	6930	-	7.01	5.86	29.9	62.28	69.1	-	2.9	-	16.99	-	-	754637
